NM_001280889.2	Bombus terrestris acyl-CoA delta-9 desaturase (npve), mRNA
XM_003402817.4	PREDICTED: Bombus terrestris formin-like protein (LOC100649833), transcript variant X4, mRNA
XM_003402818.4	PREDICTED: Bombus terrestris guanine nucleotide-binding protein subunit alpha homolog (LOC100649951), mRNA
XM_003402819.4	PREDICTED: Bombus terrestris uncharacterized LOC100650063 (LOC100650063), mRNA
XM_003402821.4	PREDICTED: Bombus terrestris uncharacterized LOC100650307 (LOC100650307), transcript variant X1, mRNA
XM_003402822.4	PREDICTED: Bombus terrestris replication factor C subunit 2 (LOC100650425), mRNA
XM_003402823.3	PREDICTED: Bombus terrestris neuronal calcium sensor 2 (LOC100650548), transcript variant X2, mRNA
XM_003402824.4	PREDICTED: Bombus terrestris neurocalcin homolog (LOC100650670), mRNA
XM_003402826.4	PREDICTED: Bombus terrestris serine/threonine-protein kinase tousled-like 2 (LOC100650987), transcript variant X2, mRNA
XM_003402828.4	PREDICTED: Bombus terrestris nucleoside diphosphate kinase 6 (LOC100651352), transcript variant X1, mRNA
XM_003402829.4	PREDICTED: Bombus terrestris late secretory pathway protein AVL9 homolog (LOC100651547), transcript variant X1, mRNA
XM_003402830.4	PREDICTED: Bombus terrestris SUZ domain-containing protein 1 (LOC100651664), transcript variant X1, mRNA
XM_003402831.4	PREDICTED: Bombus terrestris 39S ribosomal protein L30, mitochondrial (LOC100651783), mRNA
XM_003402832.4	PREDICTED: Bombus terrestris low density lipoprotein receptor adapter protein 1-B (LOC100651905), transcript variant X3, mRNA
XM_003402833.4	PREDICTED: Bombus terrestris beta-1,4-N-acetylgalactosaminyltransferase bre-4 (LOC100652024), transcript variant X2, mRNA
XM_003402834.4	PREDICTED: Bombus terrestris uncharacterized LOC100652145 (LOC100652145), mRNA
XM_003402838.4	PREDICTED: Bombus terrestris A disintegrin and metalloproteinase with thrombospondin motifs 10 (LOC100643145), transcript variant X3, mRNA
XM_003402839.4	PREDICTED: Bombus terrestris zwei Ig domain protein zig-8 (LOC100643268), transcript variant X1, mRNA
XM_003402840.4	PREDICTED: Bombus terrestris zwei Ig domain protein zig-8 (LOC100643391), mRNA
XM_003402841.3	PREDICTED: Bombus terrestris lysosomal acid glucosylceramidase (LOC100643512), transcript variant X1, mRNA
XM_003402843.4	PREDICTED: Bombus terrestris guanine nucleotide-binding protein-like 1 (LOC100643750), transcript variant X3, mRNA
XM_003402844.4	PREDICTED: Bombus terrestris lysosomal acid glucosylceramidase (LOC100643871), mRNA
XM_003402849.3	PREDICTED: Bombus terrestris transcription initiation factor TFIID subunit 11 (LOC100644425), mRNA
XM_003402855.4	PREDICTED: Bombus terrestris sorbitol dehydrogenase (LOC100645107), transcript variant X1, mRNA
XM_003402856.4	PREDICTED: Bombus terrestris uncharacterized LOC100645428 (LOC100645428), mRNA
XM_003402857.4	PREDICTED: Bombus terrestris eukaryotic translation initiation factor 3 subunit M (LOC100645546), transcript variant X1, mRNA
XM_003402858.4	PREDICTED: Bombus terrestris serine/threonine-protein kinase RIO2 (LOC100645661), transcript variant X2, mRNA
XM_003402860.4	PREDICTED: Bombus terrestris ethanolamine kinase (LOC100645856), transcript variant X1, mRNA
XM_003402861.4	PREDICTED: Bombus terrestris ribosomal RNA-processing protein 8 (LOC100645970), transcript variant X2, mRNA
XM_003402865.4	PREDICTED: Bombus terrestris beta-1,4-glucuronyltransferase 1 (LOC100646449), mRNA
XM_003402866.4	PREDICTED: Bombus terrestris trypsin-4 (LOC100646569), mRNA
XM_003402867.3	PREDICTED: Bombus terrestris trypsin-2 (LOC100646690), mRNA
XM_003402868.4	PREDICTED: Bombus terrestris trypsin-7-like (LOC100646811), mRNA
XM_003402870.3	PREDICTED: Bombus terrestris histidine-rich glycoprotein-like (LOC100647166), mRNA
XM_003402871.4	PREDICTED: Bombus terrestris sarcoplasmic reticulum histidine-rich calcium-binding protein (LOC100647281), mRNA
XM_003402873.4	PREDICTED: Bombus terrestris UDP-glycosyltransferase UGT5 (LOC100647524), mRNA
XM_003402874.4	PREDICTED: Bombus terrestris UDP-glycosyltransferase UGT5-like (LOC100647646), transcript variant X2, mRNA
XM_003402876.4	PREDICTED: Bombus terrestris UDP-glycosyltransferase UGT5 (LOC100647883), mRNA
XM_003402877.4	PREDICTED: Bombus terrestris UDP-glycosyltransferase UGT5 (LOC100648003), mRNA
XM_003402880.4	PREDICTED: Bombus terrestris repressed by EFG1 protein 1 (LOC100648496), transcript variant X3, mRNA
XM_003402887.4	PREDICTED: Bombus terrestris inner centromere protein (LOC100649557), mRNA
XM_003402892.4	PREDICTED: Bombus terrestris fatty acyl-CoA reductase 1 (LOC100650263), mRNA
XM_003402896.4	PREDICTED: Bombus terrestris elongation factor-like GTPase 1 (LOC100650750), transcript variant X1, mRNA
XM_003402901.4	PREDICTED: Bombus terrestris protein O-mannosyl-transferase TMTC1 (LOC100651353), transcript variant X1, mRNA
XM_003402902.3	PREDICTED: Bombus terrestris filaggrin-like (LOC100651470), transcript variant X2, mRNA
XM_003402903.3	PREDICTED: Bombus terrestris histidine-rich glycoprotein-like (LOC100651589), mRNA
XM_003402904.3	PREDICTED: Bombus terrestris histidine-rich glycoprotein-like (LOC100651707), mRNA
XM_003402907.4	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase RNF126-A (LOC100652182), transcript variant X1, mRNA
XM_003402908.4	PREDICTED: Bombus terrestris uncharacterized LOC100652302 (LOC100652302), transcript variant X3, mRNA
XM_003402909.4	PREDICTED: Bombus terrestris very-long-chain 3-oxoacyl-CoA reductase (LOC100642272), mRNA
XM_003402918.4	PREDICTED: Bombus terrestris uncharacterized LOC100643392 (LOC100643392), transcript variant X1, mRNA
XM_003402919.4	PREDICTED: Bombus terrestris zinc finger protein 593 homolog (LOC100643513), mRNA
XM_003402924.4	PREDICTED: Bombus terrestris chitin deacetylase 1 (LOC100644082), transcript variant X1, mRNA
XM_003402925.4	PREDICTED: Bombus terrestris NADH dehydrogenase [ubiquinone] 1 subunit C2 (LOC100644198), transcript variant X2, mRNA
XM_003402927.4	PREDICTED: Bombus terrestris AP-2 complex subunit alpha (LOC100644507), transcript variant X1, mRNA
XM_003402928.4	PREDICTED: Bombus terrestris heat shock protein beta-1 (LOC100644627), transcript variant X2, mRNA
XM_003402929.4	PREDICTED: Bombus terrestris heat shock protein beta-1 (LOC100644627), transcript variant X1, mRNA
XM_003402932.3	PREDICTED: Bombus terrestris thyroid transcription factor 1-associated protein 26 (LOC100644989), mRNA
XM_003402936.4	PREDICTED: Bombus terrestris dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (LOC100645547), mRNA
XM_003402938.4	PREDICTED: Bombus terrestris branched-chain-amino-acid aminotransferase, cytosolic (LOC100645782), transcript variant X1, mRNA
XM_003402939.4	PREDICTED: Bombus terrestris branched-chain-amino-acid aminotransferase, cytosolic (LOC100645782), transcript variant X2, mRNA
XM_003402940.4	PREDICTED: Bombus terrestris branched-chain-amino-acid aminotransferase, cytosolic (LOC100645782), transcript variant X3, mRNA
XM_003402945.4	PREDICTED: Bombus terrestris serine-threonine kinase receptor-associated protein (LOC100646645), mRNA
XM_003402946.4	PREDICTED: Bombus terrestris uncharacterized LOC100646933 (LOC100646933), mRNA
XM_003402959.4	PREDICTED: Bombus terrestris uncharacterized LOC100648961 (LOC100648961), mRNA
XM_003402960.4	PREDICTED: Bombus terrestris protein bric-a-brac 2-like (LOC100649076), mRNA
XM_003402961.4	PREDICTED: Bombus terrestris protein FAM117B (LOC100649196), transcript variant X2, mRNA
XM_003402962.4	PREDICTED: Bombus terrestris protein FAM117B (LOC100649196), transcript variant X1, mRNA
XM_003402964.4	PREDICTED: Bombus terrestris chitin-binding domain protein cbd-1-like (LOC100649646), partial mRNA
XM_003402967.4	PREDICTED: Bombus terrestris uncharacterized LOC100649983 (LOC100649983), mRNA
XM_003402973.4	PREDICTED: Bombus terrestris phospholipase A1 (LOC100650945), transcript variant X1, mRNA
XM_003402979.3	PREDICTED: Bombus terrestris odorant receptor 13a-like (LOC100651742), mRNA
XM_003402981.4	PREDICTED: Bombus terrestris toll-interacting protein (LOC100652100), mRNA
XM_003402983.4	PREDICTED: Bombus terrestris 40S ribosomal protein S2 (LOC100652333), transcript variant X3, mRNA
XM_003402984.4	PREDICTED: Bombus terrestris peroxisomal membrane protein PEX16 (LOC100642431), mRNA
XM_003402985.4	PREDICTED: Bombus terrestris RPII140-upstream gene protein (LOC100642549), mRNA
XM_003402987.4	PREDICTED: Bombus terrestris RWD domain-containing protein 2A (LOC100642789), mRNA
XM_003402989.4	PREDICTED: Bombus terrestris anaphase-promoting complex subunit 10 (LOC100642984), mRNA
XM_003402990.4	PREDICTED: Bombus terrestris protein-S-isoprenylcysteine O-methyltransferase (LOC100643105), mRNA
XM_003402992.4	PREDICTED: Bombus terrestris myotubularin-related protein 6 (LOC100643350), transcript variant X3, mRNA
XM_003402998.4	PREDICTED: Bombus terrestris NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (LOC100644083), transcript variant X1, mRNA
XM_003402999.4	PREDICTED: Bombus terrestris probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (LOC100644277), transcript variant X1, mRNA
XM_003403002.4	PREDICTED: Bombus terrestris myotubularin-related protein 10-B (LOC100644587), mRNA
XM_003403003.4	PREDICTED: Bombus terrestris histone PARylation factor 1 (LOC100644708), transcript variant X2, mRNA
XM_003403004.4	PREDICTED: Bombus terrestris alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (LOC100644833), mRNA
XM_003403005.4	PREDICTED: Bombus terrestris CXXC-type zinc finger protein 1 (LOC100644950), mRNA
XM_003403009.4	PREDICTED: Bombus terrestris protein ELYS (LOC100645663), transcript variant X1, mRNA
XM_003403012.4	PREDICTED: Bombus terrestris protein KRTCAP2 homolog (LOC100646015), mRNA
XM_003403015.4	PREDICTED: Bombus terrestris ATP-binding cassette sub-family D member 3 (LOC100646327), mRNA
XM_003403016.4	PREDICTED: Bombus terrestris intraflagellar transport protein 81 homolog (LOC100646450), transcript variant X1, mRNA
XM_003403017.4	PREDICTED: Bombus terrestris midnolin homolog (LOC100646570), transcript variant X2, mRNA
XM_003403020.4	PREDICTED: Bombus terrestris ubiquinone biosynthesis O-methyltransferase, mitochondrial (LOC100646934), mRNA
XM_003403022.4	PREDICTED: Bombus terrestris lysoplasmalogenase-like protein TMEM86A (LOC100647168), transcript variant X2, mRNA
XM_003403025.4	PREDICTED: Bombus terrestris dynein light chain 2, cytoplasmic (LOC100647526), mRNA
XM_003403027.4	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase MIB2 (LOC100647885), mRNA
XM_003403028.4	PREDICTED: Bombus terrestris uncharacterized LOC100648005 (LOC100648005), transcript variant X1, mRNA
XM_003403030.4	PREDICTED: Bombus terrestris serine/threonine-protein kinase Pink1, mitochondrial (LOC100648193), mRNA
XM_003403031.4	PREDICTED: Bombus terrestris neurogenic locus notch homolog protein 1 (LOC100648308), mRNA
XM_003403032.4	PREDICTED: Bombus terrestris uncharacterized LOC100648421 (LOC100648421), transcript variant X1, mRNA
XM_003403034.4	PREDICTED: Bombus terrestris slit homolog 1 protein (LOC100648661), transcript variant X2, mRNA
XM_003403036.4	PREDICTED: Bombus terrestris sex-lethal homolog (LOC100649124), transcript variant X1, mRNA
XM_003403040.4	PREDICTED: Bombus terrestris cytosolic 10-formyltetrahydrofolate dehydrogenase (LOC100649608), transcript variant X2, mRNA
XM_003403042.4	PREDICTED: Bombus terrestris 5'-3' exoribonuclease 1 (LOC100649909), mRNA
XM_003403044.3	PREDICTED: Bombus terrestris thioredoxin-related transmembrane protein 2 homolog (LOC100650138), mRNA
XM_003403045.3	PREDICTED: Bombus terrestris ARL14 effector protein (LOC100650264), mRNA
XM_003403046.4	PREDICTED: Bombus terrestris GTP-binding protein Di-Ras2 (LOC100650387), transcript variant X1, mRNA
XM_003403047.4	PREDICTED: Bombus terrestris parafibromin (LOC100650510), mRNA
XM_003403048.4	PREDICTED: Bombus terrestris glucose-induced degradation protein 8 homolog (LOC100650627), mRNA
XM_003403051.4	PREDICTED: Bombus terrestris ribonuclease H2 subunit A (LOC100650946), mRNA
XM_003403052.4	PREDICTED: Bombus terrestris importin-13 (LOC100651063), transcript variant X1, mRNA
XM_003403054.4	PREDICTED: Bombus terrestris ubiquitin-like protein 4A (LOC100651308), mRNA
XM_003403056.4	PREDICTED: Bombus terrestris ATP-binding cassette sub-family F member 2 (LOC100651511), transcript variant X1, mRNA
XM_003403057.4	PREDICTED: Bombus terrestris transmembrane protein 98 (LOC100651628), mRNA
XM_003403058.4	PREDICTED: Bombus terrestris ubiquitin-conjugating enzyme E2 J2 (LOC100651743), mRNA
XM_003403059.4	PREDICTED: Bombus terrestris protein twist (LOC100651863), transcript variant X1, mRNA
XM_003403060.4	PREDICTED: Bombus terrestris protein brambleberry (LOC100651979), transcript variant X1, mRNA
XM_003403061.4	PREDICTED: Bombus terrestris uncharacterized LOC100652101 (LOC100652101), transcript variant X1, mRNA
XM_003403062.3	PREDICTED: Bombus terrestris nonsense-mediated mRNA decay factor SMG8 (LOC100652303), mRNA
XM_003403063.4	PREDICTED: Bombus terrestris dnaJ homolog subfamily C member 11 (LOC100642273), transcript variant X1, mRNA
XM_003403064.4	PREDICTED: Bombus terrestris cytoplasmic phosphatidylinositol transfer protein 1 (LOC100642391), mRNA
XM_003403066.4	PREDICTED: Bombus terrestris PDF receptor (LOC100642625), transcript variant X1, mRNA
XM_003403067.4	PREDICTED: Bombus terrestris 45 kDa calcium-binding protein (LOC100642744), mRNA
XM_003403069.4	PREDICTED: Bombus terrestris tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like (LOC100642985), mRNA
XM_003403073.4	PREDICTED: Bombus terrestris xyloside xylosyltransferase 1 (LOC100643598), mRNA
XM_003403075.4	PREDICTED: Bombus terrestris translation initiation factor eIF-2B subunit gamma (LOC100643836), transcript variant X2, mRNA
XM_003403082.4	PREDICTED: Bombus terrestris synaptobrevin homolog YKT6 (LOC100644544), mRNA
XM_003403084.4	PREDICTED: Bombus terrestris 60S ribosomal protein L37 (LOC100644788), transcript variant X1, mRNA
XM_003403085.4	PREDICTED: Bombus terrestris forkhead box protein D1 (LOC100644911), transcript variant X2, mRNA
XM_003403086.4	PREDICTED: Bombus terrestris mpv17-like protein 2 (LOC100645035), mRNA
XM_003403088.4	PREDICTED: Bombus terrestris transmembrane emp24 domain-containing protein bai (LOC100645274), transcript variant X2, mRNA
XM_003403092.4	PREDICTED: Bombus terrestris zinc finger protein 678 (LOC100645664), transcript variant X1, mRNA
XM_003403093.4	PREDICTED: Bombus terrestris spindle and kinetochore-associated protein 1 (LOC100645784), transcript variant X5, mRNA
XM_003403094.4	PREDICTED: Bombus terrestris low-density lipoprotein receptor-related protein 2 (LOC100645971), mRNA
XM_003403095.4	PREDICTED: Bombus terrestris uncharacterized LOC100646088 (LOC100646088), transcript variant X1, mRNA
XM_003403098.4	PREDICTED: Bombus terrestris adenomatous polyposis coli protein (LOC100646571), transcript variant X1, mRNA
XM_003403100.4	PREDICTED: Bombus terrestris vacuolar protein sorting-associated protein 72 homolog (LOC100646813), mRNA
XM_003403102.3	PREDICTED: Bombus terrestris beta-ureidopropionase (LOC100647051), mRNA
XM_003403103.4	PREDICTED: Bombus terrestris AN1-type zinc finger protein 5 (LOC100647169), transcript variant X1, mRNA
XM_003403104.4	PREDICTED: Bombus terrestris AN1-type zinc finger protein 5 (LOC100647169), transcript variant X2, mRNA
XM_003403105.4	PREDICTED: Bombus terrestris ras-related protein Rab-11A (LOC100647364), transcript variant X1, mRNA
XM_003403107.4	PREDICTED: Bombus terrestris small nuclear ribonucleoprotein Sm D3 (LOC100647682), mRNA
XM_003403108.4	PREDICTED: Bombus terrestris corticotropin-releasing factor-binding protein (LOC100647798), mRNA
XM_003403110.4	PREDICTED: Bombus terrestris brefeldin A-inhibited guanine nucleotide-exchange protein 1 (LOC100648040), transcript variant X1, mRNA
XM_003403113.4	PREDICTED: Bombus terrestris cysteine sulfinic acid decarboxylase (LOC100648382), mRNA
XM_003403114.4	PREDICTED: Bombus terrestris MIP18 family protein galla-1 (LOC100648497), mRNA
XM_003403115.4	PREDICTED: Bombus terrestris unconventional prefoldin RPB5 interactor-like protein (LOC100648616), transcript variant X1, mRNA
XM_003403117.4	PREDICTED: Bombus terrestris L-selectin (LOC100648846), mRNA
XM_003403118.4	PREDICTED: Bombus terrestris 60S ribosomal protein L35 (LOC100648962), mRNA
XM_003403121.4	PREDICTED: Bombus terrestris zinc finger protein 354A (LOC100649316), transcript variant X2, mRNA
XM_003403122.4	PREDICTED: Bombus terrestris transmembrane protein 184C (LOC100649433), transcript variant X2, mRNA
XM_003403124.4	PREDICTED: Bombus terrestris uncharacterized LOC100649677 (LOC100649677), transcript variant X1, mRNA
XM_003403125.4	PREDICTED: Bombus terrestris uncharacterized LOC100649910 (LOC100649910), transcript variant X2, mRNA
XM_003403127.4	PREDICTED: Bombus terrestris Golgi integral membrane protein 4 (LOC100650105), transcript variant X1, mRNA
XM_003403129.4	PREDICTED: Bombus terrestris ras-related protein Rab-3 (LOC100650351), transcript variant X1, mRNA
XM_003403131.4	PREDICTED: Bombus terrestris facilitated trehalose transporter Tret1 (LOC100650588), transcript variant X1, mRNA
XM_003403132.4	PREDICTED: Bombus terrestris sterol regulatory element-binding protein cleavage-activating protein (LOC100650711), transcript variant X3, mRNA
XM_003403134.4	PREDICTED: Bombus terrestris aquaporin (LOC100650947), transcript variant X11, mRNA
XM_003403140.4	PREDICTED: Bombus terrestris testis-specific serine/threonine-protein kinase 1 (LOC100651906), mRNA
